bhdid	pin/pis_bh	bsid	pin/pis_bs
Brahy.D03G0443900	0.824491909	Brast03G192800	0.891250095
Brahy.D03G0453100	0.307926829	Brast03G200400	7.021674264
Brahy.D03G0455100	0.184760902	Brast03G202400	0.094507657
Brahy.D03G0461600	0.656700805	Brast03G206700	0.104587097
Brahy.D03G0463600	1.804095149	Brast03G208300	1.646631342
Brahy.D03G0466300	1.297400105	Brast03G210400	3.030075084
Brahy.D03G0502300	0.048173295	Brast03G239700	1.387246591
Brahy.D03G0506800	1.202219903	Brast03G243200	0.541829665
Brahy.D03G0512400	0.135433633	Brast03G246500	0.32619357
Brahy.D03G0518300	0.640845431	Brast03G251700	1.914932192
Brahy.D03G0521700	0.972351141	Brast03G253900	0.298616857
Brahy.D03G0529900	2.751869319	Brast03G260300	0.414599437
Brahy.D03G0542300	0.502742043	Brast03G270000	1.387762941
Brahy.D03G0610000	0.394118315	Brast04G189900	1.472956494
Brahy.D03G0674200	1.79461033	Brast04G137600	0.99673872
Brahy.D03G0708900	0.904221513	Brast04G108800	2.205899276
Brahy.D03G0719000	0.555632969	Brast04G099900	0.858277964
Brahy.D03G0766500	0.691333272	Brast04G057700	0.053396992
Brahy.D03G0805800	0.419931442	Brast04G023600	2.303988852
Brahy.D04G0013100	0.514230217	Brast10G010000	0.953369179
Brahy.D04G0040000	1.116463772	Brast10G030300	0.325472953
Brahy.D04G0117800	1.126314872	Brast10G098400	0.630199939
Brahy.D04G0141700	0.338313181	Brast10G188300	1.193681644
Brahy.D04G0176000	1.262199724	Brast10G171800	1.248614552
Brahy.D04G0213200	0.219847075	Brast10G150100	0.226665797
Brahy.D04G0214800	1.439797921	Brast10G148200	0.535138177
Brahy.D04G0238600	0.543691677	Brast10G126200	0.374988687
Brahy.D04G0307600	0.350723846	Brast05G059500	0.973947713
Brahy.D04G0361000	0.901159956	Brast05G019600	2.052891561
Brahy.D04G0374800	0.472480846	Brast05G011400	0.341402381
Brahy.D04G0380900	0.741025931	Brast05G006400	0.172507111
Brahy.D04G0381800	1.660736467	Brast05G007600	0.014792986
Brahy.D04G0454000	0.589907979	Brast05G135600	0.681350023
Brahy.D04G0487900	0.431991068	Brast05G164600	0.288291703
Brahy.D04G0506300	0.705314143	Brast05G179500	0.935519289
Brahy.D04G0521600	0.292640477	Brast05G192200	0.196594375
Brahy.D04G0560900	3.136574882	Brast05G224400	0.860405624
Brahy.D04G0574400	1.014572399	Brast05G237100	0.337017277
Brahy.D04G0575400	0.467456814	Brast05G237900	0.983332454
Brahy.D04G0633200	1.587785925	Brast05G289100	0.802868167
Brahy.D04G0644600	1.389309813	Brast05G297900	0.436811278
Brahy.D05G0008500	0.847701424	Brast09G006700	0.992846792
Brahy.D05G0032700	0.665398934	Brast09G021300	0.205167287
Brahy.D05G0043400	0.163899467	Brast09G028900	2.215055227
Brahy.D05G0050600	0.851178033	Brast09G032900	0.63191805
Brahy.D05G0051900	0.500787503	Brast09G033700	0.262779426
Brahy.D05G0089000	0.321737762	Brast09G048300	0.319763055
Brahy.D05G0114900	0.499800124	Brast09G070700	0.72390716
Brahy.D05G0143900	0.198742632	Brast09G094400	0.228817618
Brahy.D05G0155800	0.871990199	Brast09G102700	0.380950064
Brahy.D05G0244000	0.692375566	Brast09G170900	0.97042006
Brahy.D05G0247500	0.563354484	Brast09G173700	0.145422407
Brahy.D05G0253800	0.034499945	Brast09G179200	1.121712694
Brahy.D05G0255800	1.054657815	Brast09G181200	0.455868846
Brahy.D05G0258900	0.331443631	Brast09G184000	0.688303055
Brahy.D05G0305700	0.915048024	Brast09G221400	0.068927073
Brahy.D05G0307900	1.269930018	Brast09G222700	0.130895378
Brahy.D05G0315300	0.365950142	Brast09G229800	1.073508874
Brahy.D05G0332600	0.933728647	Brast09G244800	0.30762184
Brahy.D05G0334300	1.02016899	Brast09G246400	0.483443006
Brahy.D05G0346300	0.552043224	Brast09G256200	0.347987874
Brahy.D05G0348500	0.45871351	Brast09G258400	0.721030247
Brahy.D05G0365500	0.842007904	Brast09G269600	1.042682929
Brahy.S01G0002000	0.270098768	Brast01G001200	0.113544904
Brahy.S01G0008700	0.359173651	Brast01G007800	0.411894032
Brahy.S01G0048000	0.614848838	Brast01G044300	0.995773667
Brahy.S01G0049800	0.319479892	Brast01G045800	1.301021224
Brahy.S01G0092900	3.90920073	Brast01G087400	0.62187016
Brahy.S01G0112300	0.479131342	Brast01G105500	4.104230372
Brahy.S01G0131500	3.318773504	Brast01G123200	0.641728914
Brahy.S01G0134900	0.434875644	Brast01G126500	0.42290634
Brahy.S01G0142000	0.139145384	Brast01G133300	0.095836781
Brahy.S01G0165100	0.286612196	Brast01G155000	0.370575018
Brahy.S01G0187200	0.334711956	Brast01G175900	0.173706102
Brahy.S01G0196100	0.683807088	Brast01G184400	0.502036031
Brahy.S01G0212300	0.124767494	Brast01G199300	0.445599425
Brahy.S01G0217200	3.944907176	Brast01G203800	0.10089342
Brahy.S01G0231500	0.945797922	Brast01G216300	1.692034461
Brahy.S01G0237100	0.170360122	Brast01G221700	0.201756057
Brahy.S01G0251800	0.229274108	Brast01G234900	0.441349924
Brahy.S01G0290200	1.576717204	Brast01G280900	0.23433533
Brahy.S01G0297500	0.221991331	Brast01G287500	0.252804712
Brahy.S01G0411500	1.106714736	Brast01G392400	0.463301809
Brahy.S01G0429300	0.1652565	Brast01G409600	0.480379384
Brahy.S01G0441100	1.013992568	Brast01G247700	0.642004028
Brahy.S02G0039900	0.043781359	Brast02G036800	2.828305865
Brahy.S02G0045000	0.347504888	Brast02G042200	0.259932422
Brahy.S02G0076900	1.462573023	Brast02G072400	1.050515147
Brahy.S02G0097600	1.488593177	Brast02G090900	0.18800544
Brahy.S02G0125100	1.10910958	Brast02G119000	0.299865862
Brahy.S02G0146300	0.260742034	Brast02G139500	0.290800099
Brahy.S02G0153000	0.364268095	Brast02G146100	0.27979139
Brahy.S02G0189900	0.028967606	Brast02G180500	0.278820335
Brahy.S02G0204700	0.148643173	Brast02G194500	1.417642877
Brahy.S02G0213200	0.473913014	Brast02G202900	1.352804325
Brahy.S02G0216600	0.315029933	Brast02G206300	0.102030839
Brahy.S02G0237600	0.616931551	Brast02G223900	0.261527801
Brahy.S02G0241100	0.373513738	Brast02G227300	0.427012049
Brahy.S02G0246900	0.364781002	Brast02G232600	0.512609104
Brahy.S02G0269100	0.263534523	Brast02G252800	4.164986489
Brahy.S02G0285500	1.084056193	Brast02G267300	0.380174728
Brahy.S02G0287300	1.470946256	Brast02G268800	0.320703342
Brahy.S02G0304800	0.727200501	Brast02G284400	0.566499456
Brahy.S02G0322400	0.519311253	Brast02G300400	0.738052546
Brahy.S03G0029200	0.834814648	Brast03G026500	4.269267187
Brahy.S03G0108000	1.626193706	Brast03G098000	1.281588233
Brahy.S03G0122100	0.628674708	Brast03G110700	1.652876064
Brahy.S03G0158800	0.589752079	Brast03G141100	1.258783057
Brahy.S03G0180200	0.511563643	Brast03G161400	0.616384702
Brahy.S03G0219000	0.428564698	Brast03G198000	0.983255789
Brahy.S03G0223800	0.63507386	Brast03G202800	0.468238951
Brahy.S03G0226200	0.387844648	Brast03G205100	0.43408854
Brahy.S03G0232000	0.394875245	Brast03G210400	3.030075084
Brahy.S03G0262700	1.250687973	Brast03G239700	1.387246591
Brahy.S03G0263500	0.920550164	Brast03G240400	1.00632822
Brahy.S03G0269500	0.473935982	Brast03G246500	0.32619357
Brahy.S03G0279200	3.390499247	Brast03G255600	0.447089752
Brahy.S03G0280800	0.789204513	Brast03G257000	0.275216631
Brahy.S03G0288300	0.331041066	Brast03G263700	0.189243046
Brahy.S03G0289900	0.237619035	Brast03G265100	0.16708019
Brahy.S03G0290400	2.073538923	Brast03G265600	0.626562588
Brahy.S03G0291900	0.611329676	Brast03G267100	0.265762604
Brahy.S04G0006600	0.634412723	Brast04G005100	0.155161169
Brahy.S04G0028200	0.712470351	Brast04G027000	1.054632726
Brahy.S04G0035100	0.387577402	Brast04G033100	0.608637516
Brahy.S04G0036000	0.628923033	Brast04G033900	3.498223029
Brahy.S04G0076400	0.861930054	Brast04G072300	0.446461973
Brahy.S04G0084700	0.630650371	Brast04G080000	1.109362475
Brahy.S04G0094000	0.683065335	Brast04G089000	0.037323878
Brahy.S04G0113700	0.832256616	Brast04G107200	0.535238074
Brahy.S04G0116600	0.249234624	Brast04G109900	0.542960629
Brahy.S04G0156000	1.801816577	Brast04G146200	1.136742507
Brahy.S04G0160600	0.250467383	Brast04G150200	0.282539824
Brahy.S04G0236900	3.363270723	Brast04G220200	0.450364766
Brahy.S04G0257500	0.299137595	Brast04G238300	0.689380186
Brahy.S04G0262000	5.154708017	Brast04G242300	0.339962765
Brahy.S04G0265400	0.645942601	Brast04G245700	0.256487965
Brahy.S04G0271000	0.770143138	Brast04G250900	0.587115243
Brahy.S04G0280000	0.514730822	Brast04G258400	1.796562971
Brahy.S04G0287000	1.670861389	Brast04G264900	0.623512529
Brahy.S04G0293400	0.176706657	Brast04G270900	0.315470177
Brahy.S04G0307300	0.824036136	Brast04G284500	1.081825949
Brahy.S04G0317400	1.503387198	Brast04G293900	0.304839283
Brahy.S04G0330200	1.000283617	Brast04G305500	0.425512953
Brahy.S04G0331500	1.697097069	Brast04G306500	0.390251486
Brahy.S04G0355300	1.907287958	Brast04G330600	1.475832285
Brahy.S05G0017600	0.211765837	Brast05G016100	0.968566989
Brahy.S05G0027700	1.100570993	Brast05G025400	0.305078506
Brahy.S05G0034300	1.422169802	Brast05G031700	4.115549856
Brahy.S05G0089800	0.17918729	Brast05G069700	2.801044359
Brahy.S05G0092900	0.128738152	Brast05G068700	0.420362295
Brahy.S05G0111700	0.558942289	Brast05G098600	0.375424648
Brahy.S05G0113500	0.063288107	Brast05G100400	0.27676996
Brahy.S05G0114500	0.774659185	Brast05G101200	1.855586051
Brahy.S05G0137500	0.817850971	Brast05G121500	0.310724253
Brahy.S05G0161200	0.580039026	Brast05G143300	2.137372727
Brahy.S05G0174500	0.386475704	Brast05G155600	0.353537701
Brahy.S05G0180900	0.867457667	Brast05G161700	0.268885774
Brahy.S05G0184700	0.244501123	Brast05G165200	0.299681179
Brahy.S05G0190600	1.405764585	Brast05G170300	0.021582269
Brahy.S05G0200600	0.381919512	Brast05G179900	0.163072279
Brahy.S05G0202500	0.296470815	Brast05G181600	0.419874776
Brahy.S05G0203500	0.576845494	Brast05G182900	0.32366815
Brahy.S05G0221000	0.621557452	Brast05G200100	0.247067644
Brahy.S05G0230600	0.736174459	Brast05G209100	1.161531527
Brahy.S05G0241300	0.268565201	Brast05G218900	1.524978334
Brahy.S05G0247100	0.270029488	Brast05G224400	0.860405624
Brahy.S05G0270000	0.255177866	Brast05G246000	0.988965896
Brahy.S05G0295700	0.476441757	Brast05G269400	1.973833731
Brahy.S05G0302000	0.486333777	Brast05G275300	0.260407338
Brahy.S05G0308200	0.498635665	Brast05G281100	0.535920767
Brahy.S05G0319600	0.92973974	Brast05G292200	0.936350983
Brahy.S05G0324100	0.760676012	Brast05G296200	0.717440745
Brahy.S05G0325700	1.710165389	Brast05G297900	0.436811278
Brahy.S06G0007600	0.660009695	Brast06G007200	0.900754553
Brahy.S06G0009700	0.360304864	Brast06G009300	0.662187188
Brahy.S06G0012600	0.183116228	Brast06G012300	0.999925721
Brahy.S06G0034400	1.079964899	Brast06G033000	0.447042707
Brahy.S06G0055100	0.446121519	Brast06G053000	1.884385419
Brahy.S06G0063000	1.19657155	Brast06G060700	0.383020718
Brahy.S06G0063100	0.329165853	Brast06G060800	0.462292617
Brahy.S06G0063700	1.259071255	Brast06G061400	0.5997213
Brahy.S06G0104000	1.15669921	Brast06G098900	0.118036991
Brahy.S06G0113500	0.907359822	Brast06G107700	0.466445414
Brahy.S06G0124800	1.006674089	Brast06G118600	0.487108372
Brahy.S06G0128600	0.189235597	Brast06G122400	0.307888606
Brahy.S06G0144700	0.284891704	Brast06G129200	0.857800723
Brahy.S06G0179700	0.451445534	Brast06G156000	0.440696833
Brahy.S06G0199300	0.35785457	Brast06G183000	0.982840855
Brahy.S06G0222900	0.403358621	Brast06G205300	0.828798545
Brahy.S06G0235300	3.853682097	Brast06G216100	2.986718905
Brahy.S06G0237400	1.992725667	Brast06G218300	0.205354565
Brahy.S06G0246500	0.459135237	Brast06G227200	0.955755801
Brahy.S06G0247800	0.58984936	Brast06G228400	0.355805114
Brahy.S06G0254200	0.547627073	Brast06G233700	0.234576418
Brahy.S06G0256100	0.913253681	Brast06G235600	3.80053805
Brahy.S06G0264300	1.398866554	Brast06G242700	0.496182672
Brahy.S07G0028000	0.379878261	Brast07G026100	0.269269193
Brahy.S07G0040000	0.402269553	Brast07G037400	0.527838208
Brahy.S07G0080500	0.545319729	Brast07G074400	0.105998154
Brahy.S07G0082600	0.353734572	Brast07G076200	1.002132417
Brahy.S07G0100900	1.803365093	Brast07G093200	0.169975765
Brahy.S07G0113400	0.539317145	Brast07G104900	0.137094022
Brahy.S07G0114500	0.928929159	Brast07G105800	0.835825719
Brahy.S07G0115000	0.203567839	Brast07G106300	0.206287784
Brahy.S07G0163900	0.902938963	Brast07G147200	0.704480427
Brahy.S07G0166000	0.146734732	Brast07G148900	1.667777584
Brahy.S07G0166700	0.816297469	Brast07G149600	2.649213866
Brahy.S07G0179100	0.993315175	Brast07G160300	0.739605489
Brahy.S07G0194300	1.652405349	Brast07G173800	0.309776497
Brahy.S07G0213200	7.215264274	Brast07G191700	1.403128829
Brahy.S07G0214700	0.71872449	Brast07G192900	1.003774033
Brahy.S07G0216400	0.133332011	Brast07G194600	0.571216896
Brahy.S07G0219300	0.214011083	Brast07G197300	2.507995132
Brahy.S07G0228000	0.731780008	Brast07G205000	2.157729852
Brahy.S07G0231400	0.21589563	Brast07G207900	0.581733782
Brahy.S07G0252900	0.033573764	Brast07G228000	0.304382147
Brahy.S07G0270800	1.412111943	Brast07G244900	0.108801748
Brahy.S07G0272300	1.478399472	Brast07G246300	0.455115344
Brahy.S08G0019500	0.65194921	Brast08G018800	0.422725709
Brahy.S08G0043000	0.210534265	Brast08G041000	0.212497367
Brahy.S08G0115500	0.546730882	Brast08G108000	0.330342316
Brahy.S08G0132000	0.623323758	Brast08G124400	0.400452336
Brahy.S08G0154000	1.485074992	Brast08G144800	0.440325558
Brahy.S08G0218900	0.19350325	Brast08G201100	0.766988393
Brahy.S08G0233700	0.291554623	Brast08G214600	0.915982682
Brahy.S08G0252900	0.140050377	Brast08G233400	0.758527035
Brahy.S08G0266400	0.872406831	Brast08G244600	2.754820776
Brahy.S09G0023700	0.798777607	Brast09G021900	0.649339355
Brahy.S09G0028900	0.31468836	Brast09G027500	0.937674884
Brahy.S09G0038900	0.145025429	Brast09G035700	0.672208548
Brahy.S09G0060300	0.204069204	Brast09G062000	1.385497492
Brahy.S09G0061300	0.138388947	Brast09G062900	0.211781062
Brahy.S09G0069300	0.299773756	Brast09G069500	0.690421773
Brahy.S09G0083300	0.754643546	Brast09G082700	0.396960459
Brahy.S09G0094700	0.073502655	Brast09G093600	0.398696451
Brahy.S09G0103200	0.25208065	Brast09G102000	0.560169633
Brahy.S09G0104200	1.187081334	Brast09G102900	0.958320595
Brahy.S09G0118000	0.44678409	Brast09G115700	3.860231408
Brahy.S09G0142300	0.306471125	Brast09G139200	0.489533559
Brahy.S09G0142900	0.334011421	Brast09G139900	0.206463254
Brahy.S09G0145600	1.156146521	Brast09G142300	3.51020216
Brahy.S09G0176500	0.320052305	Brast09G170900	0.97042006
Brahy.S09G0179500	1.62169389	Brast09G173700	0.145422407
Brahy.S09G0238000	0.265802973	Brast09G228100	0.298277238
Brahy.S09G0239100	0.760265448	Brast09G229000	0.658859201
Brahy.S09G0253600	0.64980711	Brast09G243100	0.79609922
Brahy.S10G0000700	1.423750382	Brast10G000400	0.280287465
Brahy.S10G0000900	0.781257343	Brast10G000500	1.137968246
Brahy.S10G0005500	0.413415758	Brast10G005000	0.847801615
Brahy.S10G0029000	0.600926496	Brast10G027900	0.55297084
Brahy.S10G0031800	0.376586014	Brast10G030300	0.325472953
Brahy.S10G0040900	1.102039057	Brast10G038500	1.587370631
Brahy.S10G0047500	0.921441898	Brast10G042300	0.964644546
Brahy.S10G0061300	0.905258485	Brast10G057100	0.631837689
Brahy.S10G0105400	0.663527785	Brast10G099400	0.521576121
Brahy.S10G0106700	0.877243738	Brast10G098400	0.630199939
Brahy.S10G0125000	0.658914186	Brast10G110600	0.226246384
Brahy.S10G0147600	0.370926485	Brast10G130900	0.695847617
Brahy.S10G0152500	0.064639243	Brast10G136100	1.516891472
Brahy.S10G0175300	0.748277884	Brast10G156700	0.579541664
Brahy.S10G0175400	0.820389493	Brast10G156800	3.024304844
Brahy.S10G0183600	2.109585476	Brast10G164700	0.979731289
Brahy.S10G0184800	0.662023845	Brast10G165800	0.100803282
Brahy.S10G0188600	0.174630946	Brast10G169300	0.887110835
Brahy.S10G0199200	0.639804572	Brast10G178900	0.33439288
Brahy.S10G0202100	0.07889166	Brast10G182100	0.034817486
Brahy.S10G0208600	0.474228407	Brast10G188300	1.193681644
Brahy.S10G0213400	0.652620959	Brast10G191800	0.500223329
